国家代码,时间,大类项目代码,是否为东道国,某年整个奥林匹克参与人次,某年整个大类参与人次,某年某国某大类参与人次,该大类项目的细分项目event数量,该国该项目运动员金牌获奖频率,该国该项目运动员银牌获奖频率,该国该项目运动员铜牌获奖频率,明星运动员个数,新星运动员个数,平均运动生涯时间,实际当年其国某项目金牌数量,实际当年其国某项目银牌数量,实际当年其国某项目铜牌数量
AUS,1900,SWM,0,1637,120,2,2,0.0,0.0,0.0,0,0,0.0,2,0,0
AUT,1900,SWM,0,1637,120,9,6,0.5,0.5,0.0,0,0,0.0,0,3,1
AUT,1900,FEN,0,1637,287,8,3,0.0,0.0,0.0,0,0,0.0,0,0,2
AUT,1900,EJP,0,1637,64,5,5,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1900,ATH,0,1637,227,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
FRA,1900,POL,0,1637,15,6,1,0.0,0.0,0.0,0,0,0.0,0,1,3
GBR,1900,POL,0,1637,15,6,1,0.0,0.0,0.0,0,0,0.0,3,2,1
BEL,1900,SHO,0,1637,205,36,8,0.0,0.0,0.0,0,0,0.0,0,1,2
BEL,1900,GAR,0,1637,115,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
BEL,1900,FEN,0,1637,287,6,4,0.0,0.0,0.0,0,0,0.0,0,0,0
BEL,1900,ARC,0,1637,30,8,7,0.0,0.0,0.0,0,0,0.0,3,3,1
BEL,1900,EJP,0,1637,64,11,5,0.0,0.0,0.0,0,0,0.0,3,1,1
BEL,1900,SWM,0,1637,120,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
BEL,1900,CTR,0,1637,84,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
BOH,1900,GAR,0,1637,115,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
BOH,1900,CTR,0,1637,84,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
BOH,1900,ATH,0,1637,227,5,5,0.0,0.0,0.0,0,0,0.0,0,1,0
BOH,1900,TEN,0,1637,44,2,2,0.0,0.0,0.0,0,0,0.0,0,0,2
GBR,1900,TEN,0,1637,44,16,4,0.5,0.0,0.25,0,0,0.0,6,2,6
GBR,1900,SAL,0,1637,202,12,6,0.0,0.0,0.0,0,0,0.0,12,1,1
BRA,1900,ATH,0,1637,227,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
BEL,1900,WPO,0,1637,33,7,1,0.0,0.0,0.0,0,0,0.0,0,10,0
CAN,1900,ATH,0,1637,227,7,5,0.0,0.0,0.0,0,0,0.0,1,0,1
FRA,1900,ROW,0,1637,99,48,4,0.0,0.0,0.0,0,0,0.0,6,7,3
CUB,1900,FEN,0,1637,287,2,2,0.0,0.0,0.0,0,0,0.0,1,1,0
DEN,1900,FEN,0,1637,287,1,1,0.0,0.0,1.0,0,0,0.0,0,0,0
DEN,1900,ATH,0,1637,227,6,6,0.0,0.0,0.0,0,0,4.0,0,0,1
DEN,1900,SHO,0,1637,205,24,5,0.0,0.16666666666666666,0.3333333333333333,0,0,0.0,1,3,0
DEN,1900,SWM,0,1637,120,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
DEN,1900,TOW,0,1637,6,1,1,0.0,0.0,0.0,0,0,0.0,3,0,0
SWE,1900,TOW,0,1637,6,1,1,0.0,0.0,0.0,0,0,0.0,3,0,0
GER,1900,SWM,0,1637,120,5,5,0.0,0.0,0.0,0,0,0.0,5,0,0
GBR,1900,CKT,0,1637,17,14,1,0.0,0.0,0.0,0,0,0.0,12,9,0
GER,1900,ROW,0,1637,99,20,2,0.0,0.0,0.0,0,0,0.0,5,0,11
USA,1900,SAL,0,1637,202,3,3,0.0,0.0,0.0,0,0,0.0,0,0,2
FRA,1900,FEN,1,1637,287,226,7,0.25,0.5,0.0,0,0,0.0,5,5,5
FRA,1900,SWM,1,1637,120,73,7,0.0,0.0,0.0,0,0,0.0,1,6,5
FRA,1900,SHO,1,1637,205,62,8,0.0,0.0,0.0,0,0,0.0,2,6,6
FRA,1900,GAR,1,1637,115,92,1,0.0,0.0,0.0,0,0,0.0,1,1,1
FRA,1900,CTR,1,1637,84,64,3,1.0,0.25,0.25,0,0,0.0,2,1,2
FRA,1900,EJP,1,1637,64,39,5,0.0,0.0,0.0,0,0,0.0,2,2,4
FRA,1900,CQT,1,1637,19,19,3,0.0,0.0,0.0,0,0,0.0,4,2,2
FRA,1900,ARC,1,1637,30,18,7,0.0,0.0,0.0,0,0,0.0,4,5,4
FRA,1900,ATH,1,1637,227,28,16,0.0,0.1,0.1,0,0,0.0,0,8,2
FRA,1900,GLF,1,1637,20,7,2,0.0,0.0,0.0,0,0,0.0,0,0,0
FRA,1900,TEN,1,1637,44,18,4,0.0,0.0,0.0,0,0,20.0,0,3,2
GER,1900,RUG,1,1637,22,10,1,0.0,0.0,0.0,0,0,0.0,0,15,0
GER,1900,GAR,0,1637,115,11,1,0.5609756097560976,0.07317073170731707,0.04878048780487805,0,0,0.0,0,0,0
GER,1900,WPO,0,1637,33,6,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GER,1900,ATH,0,1637,227,10,9,0.0,0.1111111111111111,0.0,0,0,0.0,0,0,0
GER,1900,CTR,0,1637,84,5,3,0.0,0.0,0.0,0,0,0.0,0,1,0
GER,1900,FEN,0,1637,287,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GER,1900,EJP,0,1637,64,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GBR,1900,ROW,0,1637,99,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
GBR,1900,FEN,0,1637,287,3,2,0.0,0.0,0.0,0,0,0.0,0,0,0
GBR,1900,SWM,0,1637,120,14,5,0.0,0.0,0.0,0,0,0.0,2,0,1
GBR,1900,GAR,0,1637,115,4,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GBR,1900,GLF,0,1637,20,4,1,0.0,0.0,0.0,0,0,4.0,0,1,1
GBR,1900,EJP,0,1637,64,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GBR,1900,CTR,0,1637,84,2,2,0.0,0.5,0.0,0,0,0.0,0,1,0
GBR,1900,SHO,0,1637,205,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GRE,1900,GLF,0,1637,20,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GRE,1900,ATH,0,1637,227,2,2,0.034482758620689655,0.10344827586206896,0.20689655172413793,0,0,0.0,0,0,0
HAI,1900,FEN,0,1637,287,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
HUN,1900,ATH,0,1637,227,21,13,0.0,0.25,0.5,0,0,0.0,1,0,1
HUN,1900,FEN,0,1637,287,6,4,0.0,0.0,0.0,0,0,0.0,0,0,0
HUN,1900,GAR,0,1637,115,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
HUN,1900,SWM,0,1637,120,3,3,2.0,0.0,0.0,0,0,0.0,0,2,1
IND,1900,ATH,0,1637,227,5,5,0.0,0.0,0.0,0,0,0.0,0,2,0
IRI,1900,FEN,0,1637,287,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1900,ATH,0,1637,227,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1900,CTR,0,1637,84,9,2,0.0,0.0,0.0,0,0,0.0,1,0,0
ITA,1900,SWM,0,1637,120,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1900,FEN,0,1637,287,14,5,0.0,0.0,0.0,0,0,0.0,1,1,0
ITA,1900,EJP,0,1637,64,3,3,0.0,0.0,0.0,0,0,0.0,1,1,0
ITA,1900,GAR,0,1637,115,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1900,SAL,0,1637,202,4,2,0.0,0.0,0.0,0,0,0.0,3,3,0
GBR,1900,WPO,0,1637,33,4,1,0.0,0.0,0.0,0,0,0.0,6,0,1
FRA,1900,WPO,0,1637,33,16,1,0.0,0.0,0.0,0,0,0.0,0,0,14
LUX,1900,ATH,0,1637,227,1,1,0.0,0.0,0.0,0,0,0.0,1,0,0
NED,1900,SAL,0,1637,202,8,2,0.0,0.0,0.0,0,0,0.0,0,3,0
NED,1900,ROW,0,1637,99,15,3,0.0,0.0,0.0,0,0,0.0,3,5,9
GBR,1900,RUG,0,1637,22,1,1,0.0,0.0,0.0,0,0,0.0,0,15,0
NED,1900,SWM,0,1637,120,4,3,0.0,0.0,0.0,0,0,0.0,0,0,1
NED,1900,SHO,0,1637,205,33,7,0.0,0.0,0.0,0,0,0.0,0,0,5
NED,1900,ARC,0,1637,30,4,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1900,FEN,0,1637,287,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NOR,1900,ATH,0,1637,227,4,4,0.0,0.0,0.0,0,0,0.0,0,0,1
NOR,1900,SHO,0,1637,205,15,5,0.0,0.0,0.0,0,0,0.0,0,6,2
NZL,1900,WPO,0,1637,33,1,1,0.0,0.0,0.0,0,0,0.0,1,0,0
PER,1900,FEN,0,1637,287,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
FRA,1900,TOW,0,1637,6,5,1,0.0,0.0,0.0,0,0,0.0,0,5,0
COL,1900,TOW,0,1637,6,1,1,0.0,0.0,0.0,0,0,0.0,0,1,0
ESP,1900,ROW,0,1637,99,6,2,0.0,0.0,0.0,0,0,0.0,0,0,0
ROU,1900,SHO,0,1637,205,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
BEL,1900,ROW,0,1637,99,6,2,0.0,0.0,0.0,0,0,0.0,0,9,0
RUS,1900,EJP,0,1637,64,3,2,0.0,0.0,0.0,0,0,0.0,0,0,0
RUS,1900,FEN,0,1637,287,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1900,PEL,0,1637,2,2,1,0.0,0.0,0.0,0,0,0.0,2,0,0
ESP,1900,FEN,0,1637,287,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1900,EJP,0,1637,64,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SWE,1900,ATH,0,1637,227,19,11,0.0,0.0,0.0,0,0,4.0,0,0,1
SWE,1900,SWM,0,1637,120,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
SWE,1900,FEN,0,1637,287,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1900,SHO,0,1637,205,33,8,0.0,0.0,0.0,0,0,0.0,13,1,1
SUI,1900,GAR,0,1637,115,3,1,0.5,1.0,0.0,0,0,0.0,0,0,0
SUI,1900,FEN,0,1637,287,4,3,0.0,0.0,0.0,0,0,0.0,0,0,0
FRA,1900,RUG,0,1637,22,10,1,0.0,0.0,0.0,0,0,0.0,15,0,0
FRA,1900,CKT,0,1637,17,3,1,0.0,0.0,0.0,0,0,0.0,0,3,0
HAI,1900,RUG,0,1637,22,1,1,0.0,0.0,0.0,0,0,0.0,1,0,0
USA,1900,RUG,0,1637,22,1,1,0.0,0.0,0.0,0,0,0.0,1,0,0
USA,1900,GLF,0,1637,20,8,2,0.0,0.0,0.0,0,0,0.0,2,1,1
USA,1900,ATH,0,1637,227,90,22,0.5294117647058824,0.35294117647058826,0.11764705882352941,0,0,0.0,16,13,10
USA,1900,TEN,0,1637,44,10,4,0.0,0.0,0.0,0,0,4.0,0,1,2
USA,1900,FEN,0,1637,287,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
USA,1900,SWM,0,1637,120,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
USA,1900,CTR,0,1637,84,2,2,0.0,0.0,0.0,0,0,0.0,0,0,1
BEL,1900,FBL,0,1637,26,5,1,0.0,0.0,0.0,0,0,0.0,0,0,9
GBR,1900,FBL,0,1637,26,9,1,0.0,0.0,0.0,0,0,0.0,11,0,1
NED,1900,FBL,0,1637,26,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
FRA,1900,FBL,0,1637,26,12,1,0.0,0.0,0.0,0,0,0.0,0,13,0
USA,1900,ROW,0,1637,99,4,1,0.0,0.0,0.0,0,0,0.0,9,0,0
USA,1904,ROW,0,1169,38,30,5,2.25,0.0,0.0,4,4,0.0,18,9,9
AUS,1904,SWM,0,1169,54,4,4,2.0,0.0,0.0,1,1,0.0,0,3,1
AUS,1904,ATH,0,1169,196,2,2,0.75,0.0,0.75,4,3,0.0,0,0,0
AUT,1904,GAR,0,1169,419,4,4,0.0,0.0,0.0,0,0,0.0,2,1,0
AUT,1904,SWM,0,1169,54,3,3,0.1111111111111111,0.4444444444444444,0.1111111111111111,9,7,2.0,0,0,1
RSA,1904,TOW,0,1169,16,3,1,0.0,0.0,0.0,0,0,0.0,0,0,0
USA,1904,ARC,0,1169,65,65,6,0.0,0.0,0.0,0,0,0.0,12,8,8
CAN,1904,GLF,0,1169,93,2,1,0.0,0.0,0.0,0,0,0.0,1,0,0
CAN,1904,ATH,0,1169,196,10,9,0.14285714285714285,0.0,0.14285714285714285,7,7,0.0,1,0,0
CAN,1904,WRF,0,1169,48,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
USA,1904,GAR,0,1169,419,380,12,0.0,0.0,0.0,0,0,0.0,16,13,15
FRA,1904,ATH,0,1169,196,2,2,0.0,0.2727272727272727,0.09090909090909091,33,23,0.0,0,2,0
USA,1904,ATH,0,1169,196,155,24,0.2840909090909091,0.2159090909090909,0.13636363636363635,88,71,0.0,26,25,21
USA,1904,WPO,0,1169,13,13,1,0.0,0.0,0.0,0,0,0.0,7,7,7
USA,1904,SWM,0,1169,54,34,9,0.0,0.0,0.0,0,0,0.0,6,6,7
USA,1904,FBL,0,1169,22,14,1,0.0,0.0,0.0,0,0,0.0,0,11,12
CUB,1904,ATH,0,1169,196,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
CUB,1904,FEN,0,1169,28,5,4,1.0,1.0,0.0,1,1,20.0,5,0,0
CAN,1904,FBL,0,1169,22,8,1,0.0,0.0,0.0,0,0,0.0,13,0,0
GER,1904,SWM,0,1169,54,9,5,1.25,0.0,0.0,4,4,0.0,4,2,2
GER,1904,DIV,0,1169,10,3,1,0.0,0.0,0.0,0,0,0.0,0,1,0
GER,1904,GAR,0,1169,419,27,4,0.4423076923076923,0.057692307692307696,0.038461538461538464,41,0,0.0,0,1,1
GER,1904,FEN,0,1169,28,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
GER,1904,TEN,0,1169,50,2,2,0.5,0.0,0.0,2,0,8.0,0,0,0
GER,1904,WLF,0,1169,7,2,2,0.0,0.0,0.0,0,0,0.0,0,0,2
GER,1904,WRF,0,1169,48,3,3,0.0,0.0,0.0,0,0,0.0,0,1,0
GER,1904,ATH,0,1169,196,5,5,0.0,0.0625,0.0,9,0,0.0,0,0,1
USA,1904,TEN,0,1169,50,48,2,0.0,0.125,0.25,8,8,4.0,3,3,6
GBR,1904,ATH,0,1169,196,3,2,0.3888888888888889,0.2222222222222222,0.16666666666666666,18,15,4.0,1,1,0
GBR,1904,GLF,0,1169,93,2,1,0.0,0.25,0.25,4,4,4.0,0,0,0
GBR,1904,FEN,0,1169,28,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GRE,1904,ATH,0,1169,196,10,3,0.03333333333333333,0.1,0.2,29,0,0.0,0,0,1
GRE,1904,WLF,0,1169,7,1,1,0.0,0.0,0.5,4,0,0.0,1,0,0
HUN,1904,ATH,0,1169,196,5,5,0.0625,0.0625,0.1875,16,12,0.0,0,0,0
HUN,1904,SWM,0,1169,54,4,4,1.0,1.0,0.5,2,1,0.0,2,1,1
ITA,1904,CTR,0,1169,61,1,1,0.125,0.0,0.0,8,0,0.0,0,0,0
USA,1904,TOW,0,1169,16,9,1,0.0,0.0,0.0,0,0,0.0,5,5,4
CAN,1904,LAX,0,1169,21,16,1,0.0,0.0,0.0,0,0,0.0,12,0,12
NFL,1904,ATH,0,1169,196,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NOR,1904,WRF,0,1169,48,2,2,0.0,0.0,0.0,0,0,0.0,2,0,0
NOR,1904,GAR,0,1169,419,4,4,0.0,0.0,0.0,0,0,0.0,0,0,0
GRE,1904,TOW,0,1169,16,3,1,0.0,0.0,0.0,0,0,0.0,0,0,0
RSA,1904,ATH,0,1169,196,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
USA,1904,LAX,0,1169,21,5,1,0.0,0.0,0.0,0,0,0.0,0,12,0
GER,1904,TOW,0,1169,16,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
SUI,1904,GAR,0,1169,419,6,3,0.2,0.4,0.0,2,0,0.0,1,0,1
SUI,1904,WRF,0,1169,48,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
CAN,1904,ROW,0,1169,38,8,1,0.0,0.0,0.0,0,0,0.0,0,9,0
USA,1904,GLF,0,1169,93,89,2,0.25,0.125,0.125,8,8,0.0,10,11,12
USA,1904,DIV,1,1169,10,7,2,0.0,0.0,0.0,0,0,0.0,2,1,2
USA,1904,CTR,1,1169,61,60,7,0.0,0.0,0.5,2,0,0.0,7,7,7
USA,1904,WRF,1,1169,48,40,7,0.0,0.0,0.0,0,0,0.0,5,6,6
USA,1904,BOX,1,1169,22,22,6,0.0,0.0,0.0,0,0,0.0,6,6,4
USA,1904,0,1,1169,4,4,1,0.0,0.0,0.0,0,0,0.0,1,1,1
USA,1904,FEN,1,1169,28,20,5,0.0,0.0,0.0,0,0,0.0,2,7,4
USA,1904,VBV,1,1169,2,2,1,0.0,0.0,0.0,0,0,0.0,1,1,0
USA,1904,WLF,1,1169,7,4,2,0.0,0.0,0.0,0,0,0.0,1,2,0
GRE,1906,FBL,0,1587,27,10,1,0.0,0.0,0.0,0,0,0.0,0,0,11
AUS,1906,ATH,0,1587,462,7,6,0.6,0.0,0.6,3,0,0.0,0,0,2
AUS,1906,SWM,0,1587,77,3,3,0.4,0.6,0.2,5,4,0.0,0,0,1
AUT,1906,TOW,0,1587,25,7,1,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1906,WRG,0,1587,38,8,4,0.0,0.0,0.0,0,0,0.0,1,2,1
AUT,1906,ATH,0,1587,462,32,17,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1906,SWM,0,1587,77,9,3,0.09090909090909091,0.36363636363636365,0.18181818181818182,9,0,2.0,1,0,1
AUT,1906,FEN,0,1587,143,6,4,0.0,0.0,0.25,7,0,0.0,0,0,0
AUT,1906,SHO,0,1587,310,15,8,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1906,CRD,0,1587,24,3,1,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1906,CTR,0,1587,114,15,5,0.3333333333333333,0.0,0.6666666666666666,0,0,0.0,0,0,0
AUT,1906,DIV,0,1587,23,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
AUT,1906,WLF,0,1587,22,2,2,0.0,0.0,0.0,0,0,0.0,1,1,0
ITA,1906,ROW,0,1587,146,27,5,0.0,0.0,0.0,0,0,0.0,18,3,17
BEL,1906,FEN,0,1587,143,11,5,0.0,0.0,0.0,0,0,0.0,2,0,4
BEL,1906,CTR,0,1587,114,5,4,0.0,0.0,0.0,0,0,0.0,0,0,1
BEL,1906,WRG,0,1587,38,3,3,0.0,0.0,0.0,0,0,0.0,0,0,1
BEL,1906,WLF,0,1587,22,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
BEL,1906,ATH,0,1587,462,4,4,0.0,0.0,0.0,0,0,0.0,0,1,0
BEL,1906,SHO,0,1587,310,1,1,0.0,0.043478260869565216,0.08695652173913043,23,0,0.0,0,0,0
BEL,1906,CRD,0,1587,24,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
BOH,1906,SHO,0,1587,310,5,5,0.0,0.0,0.0,0,0,0.0,0,0,0
BOH,1906,ATH,0,1587,462,13,9,0.0,0.5,0.0,2,0,0.0,0,0,0
BOH,1906,WRG,0,1587,38,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
BOH,1906,GAR,0,1587,136,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
BOH,1906,FEN,0,1587,143,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
BOH,1906,TEN,0,1587,40,3,2,0.0,0.0,1.0,2,0,0.0,0,0,3
CAN,1906,ATH,0,1587,462,4,4,0.125,0.0,0.0625,16,0,0.0,1,1,0
CRT,1906,ATH,0,1587,462,7,4,0.0,0.0,0.0,0,0,0.0,0,0,0
CRT,1906,SHO,0,1587,310,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
DEN,1906,ROW,0,1587,146,10,3,0.0,0.0,0.0,0,0,0.0,0,0,0
DEN,1906,FBL,0,1587,27,11,1,0.0,0.0,0.0,0,0,0.0,12,0,0
DEN,1906,GAR,0,1587,136,15,1,0.0,0.0,0.0,0,0,0.0,0,18,0
DEN,1906,CRD,0,1587,24,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
DEN,1906,CTR,0,1587,114,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
DEN,1906,WRG,0,1587,38,4,4,0.0,0.0,0.0,0,0,0.0,2,1,1
DEN,1906,ATH,0,1587,462,13,7,0.0,0.0,0.125,6,0,2.0,0,0,0
DEN,1906,SWM,0,1587,77,3,3,0.0,0.0,1.0,1,0,0.0,0,0,0
DEN,1906,FEN,0,1587,143,5,3,0.0,0.0,0.5,0,0,0.0,0,0,0
EGY,1906,WRG,0,1587,38,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
EGY,1906,CTR,0,1587,114,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
